"","go_id","pval","padj","description","full_go","cluster"
"211","GO:0034250",2.07542162170725e-10,1.56059902606669e-08,"positive regulation of cellular amide metabolic process","GO:0034250 positive regulation of cellular amide metabolic process",1
"212","GO:0006406",2.43248014176402e-10,1.81191220325014e-08,"mRNA export from nucleus","GO:0006406 mRNA export from nucleus",1
"213","GO:0071427",2.43248014176402e-10,1.81191220325014e-08,"mRNA-containing ribonucleoprotein complex export from nucleus","GO:0071427 mRNA-containing ribonucleoprotein complex export from nucleus",1
"214","GO:0045934",3.44834950050941e-10,2.55661276519076e-08,"negative regulation of nucleobase-containing compound metabolic process","GO:0045934 negative regulation of nucleobase-containing compound metabolic process",1
"215","GO:0000469",3.8884178829446e-10,2.8694715409674e-08,"cleavage involved in rRNA processing","GO:0000469 cleavage involved in rRNA processing",1
"216","GO:0045727",4.01465724724404e-10,2.9489144391099e-08,"positive regulation of translation","GO:0045727 positive regulation of translation",1
"217","GO:0051248",4.1602160954819e-10,3.04175062538783e-08,"negative regulation of protein metabolic process","GO:0051248 negative regulation of protein metabolic process",1
"218","GO:0007049",5.04416540728887e-10,3.67113432807547e-08,"cell cycle","GO:0007049 cell cycle",1
"219","GO:0043543",5.57380176138672e-10,4.0380793948019e-08,"protein acylation","GO:0043543 protein acylation",1
"220","GO:0050686",6.43374809988331e-10,4.63990215239766e-08,"negative regulation of mRNA processing","GO:0050686 negative regulation of mRNA processing",1
"221","GO:0010628",7.02422802114569e-10,5.02010818844583e-08,"positive regulation of gene expression","GO:0010628 positive regulation of gene expression",1
"222","GO:0090501",7.00278765223144e-10,5.02010818844583e-08,"RNA phosphodiester bond hydrolysis","GO:0090501 RNA phosphodiester bond hydrolysis",1
"223","GO:0030433",8.62928657138702e-10,6.13956326195635e-08,"ubiquitin-dependent ERAD pathway","GO:0030433 ubiquitin-dependent ERAD pathway",1
"224","GO:0008033",8.86551046436044e-10,6.27947272444387e-08,"tRNA processing","GO:0008033 tRNA processing",1
"225","GO:1902531",9.62426218433256e-10,6.78660194740535e-08,"regulation of intracellular signal transduction","GO:1902531 regulation of intracellular signal transduction",1
"226","GO:0032269",9.85715202810617e-10,6.92006964946604e-08,"negative regulation of cellular protein metabolic process","GO:0032269 negative regulation of cellular protein metabolic process",1
"227","GO:0006354",1.22963064523121e-09,8.5944140164046e-08,"DNA-templated transcription, elongation","GO:0006354 DNA-templated transcription, elongation",1
"228","GO:0051253",1.40608089917829e-09,9.78459629226438e-08,"negative regulation of RNA metabolic process","GO:0051253 negative regulation of RNA metabolic process",1
"229","GO:0017038",1.680172362722e-09,1.16408797846931e-07,"protein import","GO:0017038 protein import",1
"230","GO:0051128",1.71603822909621e-09,1.18376793664524e-07,"regulation of cellular component organization","GO:0051128 regulation of cellular component organization",1
"231","GO:0035967",1.91006069883557e-09,1.31190575964178e-07,"cellular response to topologically incorrect protein","GO:0035967 cellular response to topologically incorrect protein",1
"232","GO:0032527",2.1857137340046e-09,1.49476440102229e-07,"protein exit from endoplasmic reticulum","GO:0032527 protein exit from endoplasmic reticulum",1
"233","GO:0006986",2.28794957185781e-09,1.55796600459639e-07,"response to unfolded protein","GO:0006986 response to unfolded protein",1
"234","GO:0097190",2.33431930820313e-09,1.58274829675004e-07,"apoptotic signaling pathway","GO:0097190 apoptotic signaling pathway",1
"235","GO:1903320",2.38310011736412e-09,1.6089475090255e-07,"regulation of protein modification by small protein conjugation or removal","GO:1903320 regulation of protein modification by small protein conjugation or removal",1
"236","GO:0034622",2.62496813766432e-09,1.76473493526195e-07,"cellular protein-containing complex assembly","GO:0034622 cellular protein-containing complex assembly",1
"237","GO:0031124",2.93443085871098e-09,1.96445907191175e-07,"mRNA 3'-end processing","GO:0031124 mRNA 3'-end processing",1
"238","GO:0006605",3.0851506420157e-09,2.05668067589164e-07,"protein targeting","GO:0006605 protein targeting",1
"239","GO:0006950",3.29181267846679e-09,2.18526778060896e-07,"response to stress","GO:0006950 response to stress",1
"240","GO:1901361",3.49887053933923e-09,2.31304499904818e-07,"organic cyclic compound catabolic process","GO:1901361 organic cyclic compound catabolic process",1
"241","GO:0000027",3.92508698760224e-09,2.58404274461814e-07,"ribosomal large subunit assembly","GO:0000027 ribosomal large subunit assembly",1
"242","GO:0034504",4.29251619616488e-09,2.81425875902281e-07,"protein localization to nucleus","GO:0034504 protein localization to nucleus",1
"243","GO:0045944",4.34124405757306e-09,2.83449293075943e-07,"positive regulation of transcription by RNA polymerase II","GO:0045944 positive regulation of transcription by RNA polymerase II",1
"244","GO:0061014",5.88320599282268e-09,3.82553058533298e-07,"positive regulation of mRNA catabolic process","GO:0061014 positive regulation of mRNA catabolic process",1
"245","GO:0006366",6.55624906005618e-09,4.23501569420263e-07,"transcription by RNA polymerase II","GO:0006366 transcription by RNA polymerase II",1
"246","GO:0031647",6.56632964057637e-09,4.23501569420263e-07,"regulation of protein stability","GO:0031647 regulation of protein stability",1
"247","GO:0032784",7.05665586454338e-09,4.53283003833382e-07,"regulation of DNA-templated transcription, elongation","GO:0032784 regulation of DNA-templated transcription, elongation",1
"248","GO:0080134",7.09071695122317e-09,4.53634335274624e-07,"regulation of response to stress","GO:0080134 regulation of response to stress",1
"249","GO:0070887",7.79432096826922e-09,4.96645367399837e-07,"cellular response to chemical stimulus","GO:0070887 cellular response to chemical stimulus",1
"250","GO:0051726",9.02789049549117e-09,5.72946042405852e-07,"regulation of cell cycle","GO:0051726 regulation of cell cycle",1
"251","GO:0043631",9.57639885701627e-09,6.05335236117212e-07,"RNA polyadenylation","GO:0043631 RNA polyadenylation",1
"252","GO:0050779",1.00376645267235e-08,6.31974545162676e-07,"RNA destabilization","GO:0050779 RNA destabilization",1
"253","GO:0043069",1.00878953774991e-08,6.32626672171542e-07,"negative regulation of programmed cell death","GO:0043069 negative regulation of programmed cell death",1
"254","GO:0031330",1.15109290915968e-08,7.19025200658563e-07,"negative regulation of cellular catabolic process","GO:0031330 negative regulation of cellular catabolic process",1
"255","GO:0000466",1.23406770078675e-08,7.67832083948338e-07,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","GO:0000466 maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1
"256","GO:0051716",1.36890496459731e-08,8.48400240949255e-07,"cellular response to stimulus","GO:0051716 cellular response to stimulus",1
"257","GO:0061157",1.60629758755849e-08,9.91654378373657e-07,"mRNA destabilization","GO:0061157 mRNA destabilization",1
"258","GO:0070972",1.61506922694081e-08,9.93204974986161e-07,"protein localization to endoplasmic reticulum","GO:0070972 protein localization to endoplasmic reticulum",1
"259","GO:0031396",1.65109050534057e-08,1.01143636902446e-06,"regulation of protein ubiquitination","GO:0031396 regulation of protein ubiquitination",1
"260","GO:0043066",1.71014274060403e-08,1.04358172009321e-06,"negative regulation of apoptotic process","GO:0043066 negative regulation of apoptotic process",1
"261","GO:0006414",1.73473559863331e-08,1.05050820640901e-06,"translational elongation","GO:0006414 translational elongation",1
"262","GO:0033119",1.73119048775514e-08,1.05050820640901e-06,"negative regulation of RNA splicing","GO:0033119 negative regulation of RNA splicing",1
"263","GO:0032786",1.90471689836814e-08,1.14905849085585e-06,"positive regulation of DNA-templated transcription, elongation","GO:0032786 positive regulation of DNA-templated transcription, elongation",1
"264","GO:0036503",2.04163238031579e-08,1.22699012674584e-06,"ERAD pathway","GO:0036503 ERAD pathway",1
"265","GO:0006378",2.39966638951685e-08,1.43672101645564e-06,"mRNA polyadenylation","GO:0006378 mRNA polyadenylation",1
"266","GO:0050821",2.47703244664629e-08,1.47692868448646e-06,"protein stabilization","GO:0050821 protein stabilization",1
"267","GO:2001233",2.48544030478939e-08,1.47692868448646e-06,"regulation of apoptotic signaling pathway","GO:2001233 regulation of apoptotic signaling pathway",1
"268","GO:0006352",2.6190844970119e-08,1.55053711304444e-06,"DNA-templated transcription, initiation","GO:0006352 DNA-templated transcription, initiation",1
"269","GO:0000463",3.25838063463803e-08,1.92183892747833e-06,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","GO:0000463 maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1
"270","GO:0090150",3.27652358029912e-08,1.92538233796392e-06,"establishment of protein localization to membrane","GO:0090150 establishment of protein localization to membrane",1
"271","GO:0048025",3.84985918887788e-08,2.25394339080208e-06,"negative regulation of mRNA splicing, via spliceosome","GO:0048025 negative regulation of mRNA splicing, via spliceosome",1
"272","GO:0031331",4.13689347094912e-08,2.41308646360584e-06,"positive regulation of cellular catabolic process","GO:0031331 positive regulation of cellular catabolic process",1
"273","GO:0048583",4.36866478852207e-08,2.53894635658209e-06,"regulation of response to stimulus","GO:0048583 regulation of response to stimulus",1
"274","GO:0000184",4.52093294028452e-08,2.61785116899833e-06,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:0000184 nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",1
"275","GO:0070646",4.77057679471184e-08,2.75236259726902e-06,"protein modification by small protein removal","GO:0070646 protein modification by small protein removal",1
"276","GO:0080135",6.10928640343603e-08,3.51195427814913e-06,"regulation of cellular response to stress","GO:0080135 regulation of cellular response to stress",1
"277","GO:0042221",6.34603621903038e-08,3.63488125094354e-06,"response to chemical","GO:0042221 response to chemical",1
"278","GO:0072657",6.70800288595473e-08,3.828387546351e-06,"protein localization to membrane","GO:0072657 protein localization to membrane",1
"279","GO:0034097",6.85994831193239e-08,3.90107311530894e-06,"response to cytokine","GO:0034097 response to cytokine",1
"280","GO:0009966",7.33078847102719e-08,4.15393892433276e-06,"regulation of signal transduction","GO:0009966 regulation of signal transduction",1
"281","GO:0072599",8.1288063387744e-08,4.58973812708166e-06,"establishment of protein localization to endoplasmic reticulum","GO:0072599 establishment of protein localization to endoplasmic reticulum",1
"282","GO:1901796",9.317347198868e-08,5.24216420770354e-06,"regulation of signal transduction by p53 class mediator","GO:1901796 regulation of signal transduction by p53 class mediator",1
"283","GO:0031401",9.80008154486769e-08,5.4942789325396e-06,"positive regulation of protein modification process","GO:0031401 positive regulation of protein modification process",1
"284","GO:0031047",1.01098620922831e-07,5.6479954914142e-06,"gene silencing by RNA","GO:0031047 gene silencing by RNA",1
"285","GO:0090305",1.01483933287254e-07,5.64962837030023e-06,"nucleic acid phosphodiester bond hydrolysis","GO:0090305 nucleic acid phosphodiester bond hydrolysis",1
"286","GO:0051668",1.05466861880915e-07,5.85082947763144e-06,"localization within membrane","GO:0051668 localization within membrane",1
"287","GO:0000478",1.1404794860578e-07,6.28293316867815e-06,"endonucleolytic cleavage involved in rRNA processing","GO:0000478 endonucleolytic cleavage involved in rRNA processing",1
"288","GO:0000479",1.1404794860578e-07,6.28293316867815e-06,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","GO:0000479 endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1
"289","GO:0030970",1.48664687427035e-07,8.10554615366783e-06,"retrograde protein transport, ER to cytosol","GO:0030970 retrograde protein transport, ER to cytosol",1
"290","GO:0071345",1.47880134028484e-07,8.10554615366783e-06,"cellular response to cytokine stimulus","GO:0071345 cellular response to cytokine stimulus",1
"291","GO:1903513",1.48664687427035e-07,8.10554615366783e-06,"endoplasmic reticulum to cytosol transport","GO:1903513 endoplasmic reticulum to cytosol transport",1
"292","GO:0009895",1.55605208263493e-07,8.45490491201571e-06,"negative regulation of catabolic process","GO:0009895 negative regulation of catabolic process",1
"293","GO:0006446",1.58205496451408e-07,8.56685463036872e-06,"regulation of translational initiation","GO:0006446 regulation of translational initiation",1
"294","GO:0006357",1.60120746366421e-07,8.64107401989673e-06,"regulation of transcription by RNA polymerase II","GO:0006357 regulation of transcription by RNA polymerase II",1
"295","GO:0051276",1.96321607784108e-07,1.05587750139073e-05,"chromosome organization","GO:0051276 chromosome organization",1
"296","GO:0006473",2.02609089907592e-07,1.08601210151144e-05,"protein acetylation","GO:0006473 protein acetylation",1
"297","GO:0006997",2.28004640221585e-07,1.21802074806588e-05,"nucleus organization","GO:0006997 nucleus organization",1
"298","GO:0034620",2.34898580623137e-07,1.25063787925057e-05,"cellular response to unfolded protein","GO:0034620 cellular response to unfolded protein",1
"299","GO:0006367",2.41829903357962e-07,1.28323519955767e-05,"transcription initiation from RNA polymerase II promoter","GO:0006367 transcription initiation from RNA polymerase II promoter",1
"300","GO:0006400",2.51495191437627e-07,1.32565538450146e-05,"tRNA modification","GO:0006400 tRNA modification",1
"301","GO:0035195",2.51495191437627e-07,1.32565538450146e-05,"gene silencing by miRNA","GO:0035195 gene silencing by miRNA",1
"302","GO:0032880",2.67931600055642e-07,1.40761681009365e-05,"regulation of protein localization","GO:0032880 regulation of protein localization",1
"303","GO:0010646",2.87178005382402e-07,1.50375123214429e-05,"regulation of cell communication","GO:0010646 regulation of cell communication",1
"304","GO:0016073",3.48647251487382e-07,1.81961753029566e-05,"snRNA metabolic process","GO:0016073 snRNA metabolic process",1
"305","GO:0043489",3.87770412546695e-07,2.01716897228389e-05,"RNA stabilization","GO:0043489 RNA stabilization",1
"306","GO:0023051",4.04949032573661e-07,2.09964750026592e-05,"regulation of signaling","GO:0023051 regulation of signaling",1
"307","GO:0016579",4.10471496646552e-07,2.11028933247131e-05,"protein deubiquitination","GO:0016579 protein deubiquitination",1
"308","GO:0045943",4.09196277780354e-07,2.11028933247131e-05,"positive regulation of transcription by RNA polymerase I","GO:0045943 positive regulation of transcription by RNA polymerase I",1
"309","GO:1902369",4.10991682675933e-07,2.11028933247131e-05,"negative regulation of RNA catabolic process","GO:1902369 negative regulation of RNA catabolic process",1
"310","GO:0002183",4.28901501036065e-07,2.19514555336716e-05,"cytoplasmic translational initiation","GO:0002183 cytoplasmic translational initiation",1
"311","GO:0006974",5.27959562570515e-07,2.69344257869576e-05,"cellular response to DNA damage stimulus","GO:0006974 cellular response to DNA damage stimulus",1
"312","GO:0018212",5.44338171812263e-07,2.76809917755556e-05,"peptidyl-tyrosine modification","GO:0018212 peptidyl-tyrosine modification",1
"313","GO:0009896",5.60436770620345e-07,2.84085936187297e-05,"positive regulation of catabolic process","GO:0009896 positive regulation of catabolic process",1
"314","GO:0040007",5.86122591892922e-07,2.96159905827169e-05,"growth","GO:0040007 growth",1
"315","GO:0043628",5.9547933564406e-07,2.98983390485084e-05,"ncRNA 3'-end processing","GO:0043628 ncRNA 3'-end processing",1
"316","GO:0045047",5.9547933564406e-07,2.98983390485084e-05,"protein targeting to ER","GO:0045047 protein targeting to ER",1
"317","GO:0016192",6.14186950680203e-07,3.07403475062842e-05,"vesicle-mediated transport","GO:0016192 vesicle-mediated transport",1
"318","GO:0032259",6.89429846153598e-07,3.43977796826195e-05,"methylation","GO:0032259 methylation",1
"319","GO:0006360",6.91615907542745e-07,3.43986770817341e-05,"transcription by RNA polymerase I","GO:0006360 transcription by RNA polymerase I",1
"320","GO:0006259",7.6291418012301e-07,3.7826238693224e-05,"DNA metabolic process","GO:0006259 DNA metabolic process",1
"321","GO:0030968",8.56628972529542e-07,4.23404214272701e-05,"endoplasmic reticulum unfolded protein response","GO:0030968 endoplasmic reticulum unfolded protein response",1
"322","GO:0006606",8.9087406064998e-07,4.38962976592316e-05,"protein import into nucleus","GO:0006606 protein import into nucleus",1
"323","GO:0044770",9.43443930091687e-07,4.63426668570734e-05,"cell cycle phase transition","GO:0044770 cell cycle phase transition",1
"324","GO:0018108",1.00800066587648e-06,4.93609214962847e-05,"peptidyl-tyrosine phosphorylation","GO:0018108 peptidyl-tyrosine phosphorylation",1
"325","GO:0001510",1.08835194507622e-06,5.29686869956418e-05,"RNA methylation","GO:0001510 RNA methylation",1
"326","GO:0031056",1.08735333064772e-06,5.29686869956418e-05,"regulation of histone modification","GO:0031056 regulation of histone modification",1
"327","GO:0031440",1.11717244850034e-06,5.42050705440563e-05,"regulation of mRNA 3'-end processing","GO:0031440 regulation of mRNA 3'-end processing",1
"328","GO:0016458",1.13065662614338e-06,5.46920671658256e-05,"gene silencing","GO:0016458 gene silencing",1
"329","GO:0016032",1.14047574241752e-06,5.49993560157947e-05,"viral process","GO:0016032 viral process",1
"330","GO:0035194",1.19180789384569e-06,5.71275650868755e-05,"post-transcriptional gene silencing by RNA","GO:0035194 post-transcriptional gene silencing by RNA",1
"331","GO:0070201",1.19082555833416e-06,5.71275650868755e-05,"regulation of establishment of protein localization","GO:0070201 regulation of establishment of protein localization",1
"332","GO:0051170",1.21359592089583e-06,5.79967255449799e-05,"import into nucleus","GO:0051170 import into nucleus",1
"333","GO:0060964",1.32341819418791e-06,6.30551143212776e-05,"regulation of gene silencing by miRNA","GO:0060964 regulation of gene silencing by miRNA",1
"334","GO:2001234",1.34263401410087e-06,6.37791355321088e-05,"negative regulation of apoptotic signaling pathway","GO:2001234 negative regulation of apoptotic signaling pathway",1
"335","GO:0043144",1.37804864956389e-06,6.5266029474569e-05,"sno(s)RNA processing","GO:0043144 sno(s)RNA processing",1
"336","GO:0043414",1.52375348379548e-06,7.19520023032713e-05,"macromolecule methylation","GO:0043414 macromolecule methylation",1
"337","GO:0044772",1.55704456273654e-06,7.33058428260473e-05,"mitotic cell cycle phase transition","GO:0044772 mitotic cell cycle phase transition",1
"338","GO:0050730",1.6938289674239e-06,7.92751929119397e-05,"regulation of peptidyl-tyrosine phosphorylation","GO:0050730 regulation of peptidyl-tyrosine phosphorylation",1
"339","GO:2000278",1.68888238834138e-06,7.92751929119397e-05,"regulation of DNA biosynthetic process","GO:2000278 regulation of DNA biosynthetic process",1
"340","GO:1901698",1.78003018538982e-06,8.30645850629261e-05,"response to nitrogen compound","GO:1901698 response to nitrogen compound",1
"341","GO:0000288",1.94726537823324e-06,9.0337171026458e-05,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","GO:0000288 nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",1
"342","GO:0060147",1.94726537823324e-06,9.0337171026458e-05,"regulation of posttranscriptional gene silencing","GO:0060147 regulation of posttranscriptional gene silencing",1
"343","GO:0016441",2.10594244257156e-06,9.74136524601761e-05,"posttranscriptional gene silencing","GO:0016441 posttranscriptional gene silencing",1
"344","GO:0000380",2.12108820713625e-06,9.78290276000691e-05,"alternative mRNA splicing, via spliceosome","GO:0000380 alternative mRNA splicing, via spliceosome",1
"345","GO:0097193",2.26995022402605e-06,0.000104391392041731,"intrinsic apoptotic signaling pathway","GO:0097193 intrinsic apoptotic signaling pathway",1
"346","GO:0006368",2.28524217748613e-06,0.000104790902855477,"transcription elongation from RNA polymerase II promoter","GO:0006368 transcription elongation from RNA polymerase II promoter",1
"347","GO:0000154",2.36113435141691e-06,0.000107648728791899,"rRNA modification","GO:0000154 rRNA modification",1
"348","GO:0060148",2.36113435141691e-06,0.000107648728791899,"positive regulation of posttranscriptional gene silencing","GO:0060148 positive regulation of posttranscriptional gene silencing",1
"349","GO:0051052",2.48719701809359e-06,0.000113071254696484,"regulation of DNA metabolic process","GO:0051052 regulation of DNA metabolic process",1
"350","GO:0016049",2.55055904904719e-06,0.000115620485349093,"cell growth","GO:0016049 cell growth",1
"351","GO:0090502",2.68697110587777e-06,0.000121457218136344,"RNA phosphodiester bond hydrolysis, endonucleolytic","GO:0090502 RNA phosphodiester bond hydrolysis, endonucleolytic",1
"352","GO:0006793",2.79388231646682e-06,0.000125931070548473,"phosphorus metabolic process","GO:0006793 phosphorus metabolic process",1
"353","GO:0035459",2.90975058149757e-06,0.000130782160696998,"vesicle cargo loading","GO:0035459 vesicle cargo loading",1
"354","GO:2000058",3.02260808984981e-06,0.000135470903823607,"regulation of ubiquitin-dependent protein catabolic process","GO:2000058 regulation of ubiquitin-dependent protein catabolic process",1
"355","GO:0006890",3.03605623835218e-06,0.000135690333176608,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","GO:0006890 retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",1
"356","GO:0016236",3.22730967501295e-06,0.000143832851976841,"macroautophagy","GO:0016236 macroautophagy",1
"357","GO:0090114",3.26528580380975e-06,0.000145117715863433,"COPII-coated vesicle budding","GO:0090114 COPII-coated vesicle budding",1
"358","GO:0060966",3.44722018159926e-06,0.000152775406148754,"regulation of gene silencing by RNA","GO:0060966 regulation of gene silencing by RNA",1
"359","GO:0010256",3.51426088723074e-06,0.000155312710966025,"endomembrane system organization","GO:0010256 endomembrane system organization",1
"360","GO:0040008",3.61499556239524e-06,0.00015932088775823,"regulation of growth","GO:0040008 regulation of growth",1
"361","GO:0000082",3.70135413531005e-06,0.000162675026899804,"G1/S transition of mitotic cell cycle","GO:0000082 G1/S transition of mitotic cell cycle",1
"362","GO:1902373",3.7425209818618e-06,0.000164029938945357,"negative regulation of mRNA catabolic process","GO:1902373 negative regulation of mRNA catabolic process",1
"363","GO:1903322",3.87080587422942e-06,0.000169185140497311,"positive regulation of protein modification by small protein conjugation or removal","GO:1903322 positive regulation of protein modification by small protein conjugation or removal",1
"364","GO:0043516",4.31553919350262e-06,0.000187589985874281,"regulation of DNA damage response, signal transduction by p53 class mediator","GO:0043516 regulation of DNA damage response, signal transduction by p53 class mediator",1
"365","GO:0050793",4.3138698085044e-06,0.000187589985874281,"regulation of developmental process","GO:0050793 regulation of developmental process",1
"366","GO:0006796",4.53487204048105e-06,0.000196585463918777,"phosphate-containing compound metabolic process","GO:0006796 phosphate-containing compound metabolic process",1
"367","GO:1902532",4.55219913499716e-06,0.000196798886855218,"negative regulation of intracellular signal transduction","GO:1902532 negative regulation of intracellular signal transduction",1
"368","GO:0048255",4.67640765277876e-06,0.000201619249508119,"mRNA stabilization","GO:0048255 mRNA stabilization",1
"369","GO:0006900",4.7871146599898e-06,0.000205832957169101,"vesicle budding from membrane","GO:0006900 vesicle budding from membrane",1
"370","GO:1903050",4.99068763233809e-06,0.000214006081012638,"regulation of proteolysis involved in cellular protein catabolic process","GO:1903050 regulation of proteolysis involved in cellular protein catabolic process",1
"371","GO:0016310",5.24227054998271e-06,0.000224188314140231,"phosphorylation","GO:0016310 phosphorylation",1
"372","GO:0022607",5.31614047726291e-06,0.000226736249495305,"cellular component assembly","GO:0022607 cellular component assembly",1
"373","GO:0000045",5.74238436970867e-06,0.000244259169999458,"autophagosome assembly","GO:0000045 autophagosome assembly",1
"374","GO:0030307",5.82868791300562e-06,0.000247267279218575,"positive regulation of cell growth","GO:0030307 positive regulation of cell growth",1
"375","GO:0006914",6.05325562097622e-06,0.000254215907576212,"autophagy","GO:0006914 autophagy",1
"376","GO:0061919",6.05325562097622e-06,0.000254215907576212,"process utilizing autophagic mechanism","GO:0061919 process utilizing autophagic mechanism",1
"377","GO:0070059",6.05657462900593e-06,0.000254215907576212,"intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","GO:0070059 intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress",1
"378","GO:2000637",6.0187877636253e-06,0.000254215907576212,"positive regulation of gene silencing by miRNA","GO:2000637 positive regulation of gene silencing by miRNA",1
"379","GO:0000209",6.13593754556628e-06,0.000256867506854762,"protein polyubiquitination","GO:0000209 protein polyubiquitination",1
"380","GO:2001020",6.22603397582444e-06,0.000259953302790607,"regulation of response to DNA damage stimulus","GO:2001020 regulation of response to DNA damage stimulus",1
"381","GO:1905037",6.96590840235009e-06,0.000290081634413876,"autophagosome organization","GO:1905037 autophagosome organization",1
"382","GO:0090110",7.26174351440632e-06,0.000301609483244949,"COPII-coated vesicle cargo loading","GO:0090110 COPII-coated vesicle cargo loading",1
"383","GO:1903827",7.59768337830865e-06,0.000314738497337454,"regulation of cellular protein localization","GO:1903827 regulation of cellular protein localization",1
"384","GO:0006468",8.38999373252837e-06,0.000346655313959102,"protein phosphorylation","GO:0006468 protein phosphorylation",1
"385","GO:0034661",8.66660061666686e-06,0.000357153988010484,"ncRNA catabolic process","GO:0034661 ncRNA catabolic process",1
"386","GO:0001558",8.86721368476029e-06,0.000364474643322297,"regulation of cell growth","GO:0001558 regulation of cell growth",1
"387","GO:0016074",8.97836457277851e-06,0.000368089747575462,"sno(s)RNA metabolic process","GO:0016074 sno(s)RNA metabolic process",1
"388","GO:0050731",9.1607256201839e-06,0.000374598125489273,"positive regulation of peptidyl-tyrosine phosphorylation","GO:0050731 positive regulation of peptidyl-tyrosine phosphorylation",1
"389","GO:0016573",9.24962019562531e-06,0.000376293523137926,"histone acetylation","GO:0016573 histone acetylation",1
"390","GO:0018205",9.24819620281698e-06,0.000376293523137926,"peptidyl-lysine modification","GO:0018205 peptidyl-lysine modification",1
"391","GO:0006470",9.37778321608595e-06,0.000380531735310536,"protein dephosphorylation","GO:0006470 protein dephosphorylation",1
"392","GO:0039535",9.83051119883711e-06,0.000396872495370864,"regulation of RIG-I signaling pathway","GO:0039535 regulation of RIG-I signaling pathway",1
"393","GO:1900363",9.83051119883711e-06,0.000396872495370864,"regulation of mRNA polyadenylation","GO:1900363 regulation of mRNA polyadenylation",1
"394","GO:0000278",1.00058418031629e-05,0.000401905534301223,"mitotic cell cycle","GO:0000278 mitotic cell cycle",1
"395","GO:0010243",1.00058418031629e-05,0.000401905534301223,"response to organonitrogen compound","GO:0010243 response to organonitrogen compound",1
"396","GO:0031398",1.06712095314523e-05,0.000427549016227327,"positive regulation of protein ubiquitination","GO:0031398 positive regulation of protein ubiquitination",1
"397","GO:0071479",1.07150196527841e-05,0.000428222926476252,"cellular response to ionizing radiation","GO:0071479 cellular response to ionizing radiation",1
"398","GO:0006418",1.07570610251186e-05,0.000428822940262642,"tRNA aminoacylation for protein translation","GO:0006418 tRNA aminoacylation for protein translation",1
"399","GO:0006612",1.21126989311418e-05,0.000481654338951118,"protein targeting to membrane","GO:0006612 protein targeting to membrane",1
"400","GO:0032434",1.34328972077618e-05,0.000532815867745873,"regulation of proteasomal ubiquitin-dependent protein catabolic process","GO:0032434 regulation of proteasomal ubiquitin-dependent protein catabolic process",1
"401","GO:0006984",1.53211981366911e-05,0.000604691864768011,"ER-nucleus signaling pathway","GO:0006984 ER-nucleus signaling pathway",1
"402","GO:0043039",1.53211981366911e-05,0.000604691864768011,"tRNA aminoacylation","GO:0043039 tRNA aminoacylation",1
"403","GO:0140053",1.55108126069208e-05,0.00061065645861391,"mitochondrial gene expression","GO:0140053 mitochondrial gene expression",1
"404","GO:0031126",1.62683562189791e-05,0.000635748127513107,"sno(s)RNA 3'-end processing","GO:0031126 sno(s)RNA 3'-end processing",1
"405","GO:0070203",1.62683562189791e-05,0.000635748127513107,"regulation of establishment of protein localization to telomere","GO:0070203 regulation of establishment of protein localization to telomere",1
"406","GO:1990440",1.62683562189791e-05,0.000635748127513107,"positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress","GO:1990440 positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress",1
"407","GO:0016050",1.6621333540576e-05,0.00064661586051711,"vesicle organization","GO:0016050 vesicle organization",1
"408","GO:0034243",1.66279636386601e-05,0.00064661586051711,"regulation of transcription elongation from RNA polymerase II promoter","GO:0034243 regulation of transcription elongation from RNA polymerase II promoter",1
"409","GO:0010212",1.70613227950167e-05,0.000661845837324537,"response to ionizing radiation","GO:0010212 response to ionizing radiation",1
"410","GO:0036003",1.7809539595966e-05,0.000687508893502668,"positive regulation of transcription from RNA polymerase II promoter in response to stress","GO:0036003 positive regulation of transcription from RNA polymerase II promoter in response to stress",1
"411","GO:2000648",1.7809539595966e-05,0.000687508893502668,"positive regulation of stem cell proliferation","GO:2000648 positive regulation of stem cell proliferation",1
"412","GO:0010638",1.81848025031142e-05,0.000700083635752937,"positive regulation of organelle organization","GO:0010638 positive regulation of organelle organization",1
